la_code,la_name,LSOA21CD,easting,northing,dist_state_ASD_km,dist_state_SEMH_km,dist_state_MLD_km,dist_state_SLD_km,dist_state_SLCN_km
E09000001,City of London,E01000001,532181.7642000001,181792.2818,2.2532197712191913,2.164726215624682,3.2733401508265123,4.591491114987814,1.8369431854613598
E06000052,Cornwall,E01018945,202699.42080000043,65668.02209999971,45.734664986919135,44.610677748482146,89.10066458351075,12.472524767365703,52.92239713371372
E09000003,Barnet,E01000120,528823.5718,194238.04659999907,6.69844734214825,9.789333163045816,9.708903487907866,14.258845309515921,1.2752811081205035
E10000032,West Sussex,E01031487,486282.4084999999,106971.9143000003,16.090087372342406,17.34475629308818,11.71897487920402,0.516284666842868,25.956392252418738
E10000011,East Sussex,E01021013,583256.5228000004,111412.97550000064,3.8662192982451016,36.72843242068686,70.31836292491944,59.45801724157519,1.4035785322247496
E10000014,Hampshire,E01023096,487296.6405999996,155760.34200000018,0.9526383973640392,12.17906350411799,4.116064791002797,4.330685380137297,1.5872813798854268
E08000025,Birmingham,E01009311,414202.8389999997,287490.5832000002,1.4961633552671438,3.6059596282326005,3.378703549476413,3.378703549476413,6.45500815919223
E09000020,Kensington and Chelsea,E01002870,523916.5218000002,180584.5583999995,1.710255077725416,6.08250656990089,7.31053165402446,12.944044357405527,1.444991185885408
E09000033,Westminster,E01004752,529223.3651,178362.2435999997,4.421966014211094,3.8009820874399565,7.24666885290357,8.517624291974881,5.934349082944301
E10000016,Kent,E01024004,603456.0049999999,142341.02899999917,4.404087587101903,35.25628084896218,52.10789560549282,41.442424359910525,18.389265334126122
E10000030,Surrey,E01030357,509971.7877000002,166759.6063000001,2.2431939512381924,13.178301253631947,8.522287298036144,20.87249347988594,8.840972983663454
E09000030,Tower Hamlets,E01004277,537099.4050000003,180494.2204,3.3407326083065394,2.232460254204039,6.852179420432882,1.9165483706396202,2.3072808321921405
E10000032,West Sussex,E01031691,516843.1478000004,131096.80000000077,10.553345275040932,10.87551324645606,22.006043695963047,2.2554824141731555,27.18310328329512
E06000039,Slough,E01016480,501898.86290000007,177446.09740000032,6.396472730800936,5.272278892593008,14.466308660410778,22.454754699637608,8.526207473506735
E10000011,East Sussex,E01020992,580274.5268999999,109781.5117000006,2.004266883440984,33.39175708867786,69.78418748212798,60.60883754472105,1.8121279047740066
E10000016,Kent,E01024314,565719.2876000004,172631.0061000008,7.314149416298608,5.890305430566465,18.27577268453966,7.309505864280442,12.921546272623377
