time_period,need,pct_national
201516,ASD,25.80120938960392
201516,MLD,13.351320048303759
201516,SEMH,12.724179262604544
201516,SLCN,13.936711304246332
201516,SLD,13.034831677567931
201617,ASD,26.863487767154105
201617,MLD,12.594470613048369
201617,SEMH,12.803624156355456
201617,SLCN,14.253638217097864
201617,SLD,12.811972722159732
201718,ASD,28.082070707070706
201718,MLD,11.928030303030303
201718,SEMH,13.176767676767675
201718,SLCN,14.484427609427609
201718,SLD,12.429292929292929
201819,ASD,28.865728186627056
201819,MLD,11.436251739017662
201819,SEMH,13.724288083504288
201819,SLCN,14.961446862694238
201819,SLD,11.758903377427748
201920,ASD,30.060267849043733
201920,MLD,10.737183557508445
201920,SEMH,14.21936626234112
201920,SLCN,15.453024821935902
201920,SLD,11.100387151083261
202425,ASD,32.307843137254906
202425,SEMH,20.030718954248364
202425,MLD,10.359477124183007
202425,SLD,3.8581699346405234
202425,SLCN,21.190849673202614
