priority_rank,la_name,region,intervention_status,need_type,facility_type,lead_time,typical_places,gap_pp,gap_abs_children,dist_nearest_maintained_km,demand_growth_to_2030,pct_placements_independent,indep_cost_2030_m,risk_score
256,Southampton,South East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,23.9,665,2.5,1.42,3.8,2.0,0.07
257,Oldham,North West,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.9,289,9.9,1.66,4.5,3.3,0.06
258,Barking and Dagenham,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.7,205,12.8,2.05,7.2,3.5,0.19
259,Wirral,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.5,510,2.0,2.05,4.1,6.2,0.95
260,Oxfordshire,South East,Safety Valve,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,4.9,356,4.9,1.59,17.0,37.2,0.76
261,Barnsley,Yorkshire and The Humber,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,8.0,244,10.3,1.56,27.6,32.7,0.13
262,Croydon,London,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,15.8,826,0.8,2.05,14.8,38.3,0.57
263,South Tyneside,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,12.6,224,37.6,1.32,7.8,9.4,0.05
264,Bradford,Yorkshire and The Humber,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.3,172,18.5,2.05,10.1,29.1,0.66
265,Hounslow,London,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.7,430,6.6,1.15,15.4,21.4,0.24
266,Salford,North West,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.7,227,12.3,1.72,13.3,25.0,0.08
267,Derby,East Midlands,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,10.3,383,2.9,1.97,12.1,22.4,0.66
268,Wandsworth,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,8.7,276,10.2,1.39,23.2,27.5,0.39
269,North Lincolnshire,Yorkshire and The Humber,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,10.7,178,38.0,1.46,18.5,8.9,0.06
270,Hackney,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,18.7,688,4.7,0.94,0.0,0.0,0.61
271,Richmond upon Thames,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.8,258,9.9,1.43,26.6,13.0,0.13
272,Barking and Dagenham,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.8,331,3.6,2.05,7.2,3.5,0.19
273,West Northamptonshire,East Midlands,No intervention,SLD,New maintained special school,4–6 years,80–150,3.4,141,26.1,2.05,15.6,36.3,
274,Sefton,North West,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,3.6,134,29.8,2.05,16.0,27.8,0.5
275,Milton Keynes,South East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,25.9,773,2.1,1.17,6.0,6.8,0.1
276,"Kingston upon Hull, City of",Yorkshire and The Humber,No intervention,MLD,New maintained special school,4–6 years,80–150,4.1,133,61.1,1.93,3.3,2.4,0.31
277,"Herefordshire, County of",West Midlands,No intervention,SLD,New maintained special school,4–6 years,80–150,7.2,124,46.4,2.05,10.7,7.7,0.06
278,Waltham Forest,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.3,523,1.6,2.05,4.4,4.6,0.31
279,Haringey,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,31.3,926,3.0,0.74,14.2,7.0,0.63
280,Walsall,West Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,9.7,460,1.7,2.05,13.7,27.6,0.59
281,East Riding of Yorkshire,Yorkshire and The Humber,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,5.4,200,53.1,1.21,11.3,7.4,0.1
282,Wokingham,South East,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.9,174,13.0,1.9,21.2,20.7,0.52
283,Enfield,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,8.8,437,10.7,0.92,7.2,8.1,0.69
284,Redcar and Cleveland,North East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,21.7,324,16.0,1.01,14.3,8.7,0.07
285,Croydon,London,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.8,146,19.4,2.05,14.8,38.3,0.57
286,Portsmouth,South East,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,9.0,208,9.3,2.05,3.0,1.2,0.02
287,Knowsley,North West,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,4.5,126,29.0,2.05,15.9,22.4,0.13
288,Isle of Wight,South East,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,24.7,444,18.4,0.74,2.5,0.6,0.09
289,Reading,South East,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,12.2,240,5.2,2.05,11.7,10.7,0.15
290,Lewisham,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.2,488,4.5,1.0,18.7,,0.72
291,Newham,London,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,42.3,507,6.2,0.92,6.6,2.8,0.86
292,Sunderland,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,7.8,234,39.1,1.04,7.8,14.6,0.39
293,Devon,South West,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.6,350,14.7,0.78,28.8,123.9,0.97
294,Dudley,West Midlands,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.9,527,3.6,1.04,11.0,21.5,0.47
295,North Tyneside,North East,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,24.9,572,7.3,0.74,3.7,5.3,0.45
296,Lambeth,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.1,235,10.2,1.5,9.1,4.2,0.21
297,East Sussex,South East,Safety Valve,SLD,New maintained special school,4–6 years,80–150,2.1,104,45.9,1.99,13.4,41.4,0.19
298,Islington,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,28.1,596,1.0,2.05,6.4,2.6,0.23
299,Salford,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.4,352,2.6,1.72,13.3,25.0,0.08
300,Isle of Wight,South East,Safety Valve,ASD,New maintained special school,4–6 years,80–150,19.3,347,26.9,0.74,2.5,0.6,0.09
301,Waltham Forest,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,5.2,190,7.5,2.05,4.4,4.6,0.31
302,West Berkshire,South East,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,10.4,175,6.5,2.05,19.5,13.6,0.18
303,Oxfordshire,South East,Safety Valve,MLD,New maintained special school,4–6 years,80–150,1.8,130,34.6,1.59,17.0,37.2,0.76
304,Calderdale,Yorkshire and The Humber,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.8,123,17.1,2.05,16.8,17.9,0.03
305,Richmond upon Thames,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,9.7,196,10.2,1.43,26.6,13.0,0.13
306,Hammersmith and Fulham,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.7,244,7.7,1.32,22.0,18.1,0.53
307,Islington,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.2,301,2.6,2.05,6.4,2.6,0.23
308,Kingston upon Thames,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.8,211,8.2,1.52,17.5,6.5,0.05
309,Hartlepool,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,14.8,143,60.8,1.21,16.6,8.8,0.47
310,Coventry,West Midlands,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.7,129,16.9,2.05,7.0,16.1,0.33
311,Reading,South East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.3,262,2.8,2.05,11.7,10.7,0.15
312,York,Yorkshire and The Humber,No intervention,MLD,New maintained special school,4–6 years,80–150,8.9,138,45.8,1.46,2.1,0.4,0.11
313,Redcar and Cleveland,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,19.0,283,10.3,1.01,14.3,8.7,0.07
314,Cheshire West and Chester,North West,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,3.5,134,12.9,2.05,9.1,17.1,0.49
315,Halton,North West,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,8.9,152,29.4,1.31,15.7,13.7,0.29
316,Hartlepool,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,20.8,201,14.7,1.21,16.6,8.8,0.47
317,Westmorland and Furness,North West,No intervention,SLD,New maintained special school,4–6 years,80–150,8.9,212,49.0,0.74,27.3,12.7,
318,Blackpool,North West,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,18.5,307,5.0,1.24,12.2,4.6,0.15
319,Brent,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,30.6,1158,0.6,1.24,13.6,22.7,0.21
320,Redcar and Cleveland,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,10.1,151,76.2,1.01,14.3,8.7,0.07
321,St. Helens,North West,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,8.8,192,4.1,2.05,16.9,15.4,0.13
322,Harrow,London,No intervention,SLD,New maintained special school,4–6 years,80–150,3.4,91,22.5,2.05,23.5,28.4,0.53
323,St. Helens,North West,No intervention,MLD,New maintained special school,4–6 years,80–150,4.5,98,20.6,2.05,16.9,15.4,0.13
324,Brent,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.8,182,15.9,1.24,13.6,22.7,0.21
325,Merton,London,No intervention,SLD,New maintained special school,4–6 years,80–150,5.6,153,23.7,1.13,29.8,31.7,0.35
326,Hammersmith and Fulham,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,17.7,316,3.1,1.32,22.0,18.1,0.53
327,Sandwell,West Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,3.7,152,6.6,2.05,14.3,24.0,0.21
328,Hampshire,South East,Safety Valve,SLD,New maintained special school,4–6 years,80–150,0.5,88,24.4,2.05,20.6,157.6,0.98
329,Cambridgeshire,East of England,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.0,163,17.5,1.29,12.6,31.8,0.39
330,Merton,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,11.2,306,3.6,1.13,29.8,31.7,0.35
331,Sandwell,West Midlands,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.1,126,8.8,2.05,14.3,24.0,0.21
332,"Bournemouth, Christchurch and Poole",South West,No intervention,SLD,New maintained special school,4–6 years,80–150,1.6,71,55.9,2.0,16.0,34.8,
333,Medway,South East,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.6,231,4.8,1.36,20.6,50.1,0.73
334,Luton,East of England,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,5.8,158,7.6,1.88,3.4,3.7,0.41
335,Derby,East Midlands,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.6,97,20.7,1.97,12.1,22.4,0.66
336,Coventry,West Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,4.5,156,5.8,2.05,7.0,16.1,0.33
337,Swindon,South West,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.0,389,2.9,1.21,2.5,3.6,0.37
338,Slough,South East,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.3,160,13.2,1.43,7.8,5.2,0.65
339,Bracknell Forest,South East,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,10.6,175,8.7,1.29,27.1,16.8,0.26
340,Central Bedfordshire,East of England,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.6,105,16.3,2.05,5.3,8.1,0.64
341,Stoke-on-Trent,West Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.9,269,1.6,2.05,21.9,21.0,0.89
342,Rochdale,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,6.6,196,4.9,1.6,14.9,22.0,0.06
343,Greenwich,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.1,133,7.0,2.05,12.8,11.5,0.51
344,Brighton and Hove,South East,No intervention,SLD,New maintained special school,4–6 years,80–150,4.3,120,27.2,1.37,14.3,14.0,0.13
345,Warrington,North West,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.3,169,3.8,2.05,16.0,10.3,0.56
346,Haringey,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.0,384,5.9,0.74,14.2,7.0,0.63
347,Windsor and Maidenhead,South East,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,18.9,254,6.9,0.97,22.7,13.3,0.05
348,Stockton-on-Tees,North East,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.8,117,9.6,1.88,17.6,23.7,0.16
349,Knowsley,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,6.3,175,3.3,2.05,15.9,22.4,0.13
350,Hillingdon,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.0,208,5.3,1.39,14.4,28.6,0.19
351,North Tyneside,North East,No intervention,MLD,New maintained special school,4–6 years,80–150,9.5,218,34.5,0.74,3.7,5.3,0.45
352,Wokingham,South East,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.7,104,11.0,1.9,21.2,20.7,0.52
353,Hounslow,London,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,4.1,139,23.5,1.15,15.4,21.4,0.24
354,Buckinghamshire,South East,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.1,148,12.2,1.39,8.8,26.2,0.14
355,Lewisham,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,5.2,192,11.0,1.0,18.7,,0.72
356,Kingston upon Thames,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,17.8,349,1.5,1.52,17.5,6.5,0.05
357,Camden,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,9.0,144,6.7,1.61,17.8,11.0,0.04
358,Rochdale,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.4,131,8.9,1.6,14.9,22.0,0.06
359,Cheshire East,North West,Safety Valve,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.3,161,18.6,0.85,31.6,63.6,0.29
360,Stockport,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.3,116,6.1,2.05,14.6,24.2,0.13
361,Middlesbrough,North East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,5.1,102,8.7,2.05,10.2,13.1,0.03
362,Halton,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,13.9,237,3.2,1.31,15.7,13.7,0.29
363,Stoke-on-Trent,West Midlands,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.2,75,14.1,2.05,21.9,21.0,0.89
364,Kensington and Chelsea,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,47.3,387,1.4,1.24,19.2,3.2,0.04
365,Redbridge,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,5.6,190,12.4,0.97,2.9,1.3,0.15
366,Sutton,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,8.9,230,1.4,2.05,20.2,14.5,0.05
367,Hillingdon,London,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.8,97,21.8,1.39,14.4,28.6,0.19
368,Haringey,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,11.1,328,4.6,0.74,14.2,7.0,0.63
369,Barnet,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.7,73,15.5,2.05,13.2,15.7,0.09
370,Dorset,South West,Safety Valve,SLD,New maintained special school,4–6 years,80–150,2.1,91,28.6,1.22,18.7,37.0,
371,Stockton-on-Tees,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,5.0,123,4.2,1.88,17.6,23.7,0.16
372,Hammersmith and Fulham,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.7,119,9.1,1.32,22.0,18.1,0.53
373,Calderdale,Yorkshire and The Humber,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.1,54,29.8,2.05,16.8,17.9,0.03
374,Isle of Wight,South East,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,11.6,209,14.8,0.74,2.5,0.6,0.09
375,Blackburn with Darwen,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.2,64,16.6,2.05,15.0,9.0,0.03
376,Sutton,London,No intervention,SLD,New maintained special school,4–6 years,80–150,2.1,54,20.2,2.05,20.2,14.5,0.05
377,Wandsworth,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.8,89,13.4,1.39,23.2,27.5,0.39
378,Torbay,South West,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,19.3,317,1.7,1.2,6.3,2.3,0.38
379,Enfield,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.0,149,13.8,0.92,7.2,8.1,0.69
380,Nottinghamshire,East Midlands,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.0,54,19.6,2.05,15.8,45.2,0.47
381,Trafford,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.6,113,5.8,1.66,7.2,4.4,0.18
382,Camden,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,13.1,211,1.6,1.61,17.8,11.0,0.04
383,Swindon,South West,Safety Valve,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,6.5,181,4.3,1.21,2.5,3.6,0.37
384,Oldham,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.7,99,7.8,1.66,4.5,3.3,0.06
385,Havering,London,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,3.4,103,3.8,2.05,11.2,6.7,0.26
386,Brighton and Hove,South East,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.6,185,2.6,1.37,14.3,14.0,0.13
387,Hackney,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,9.0,331,2.2,0.94,0.0,0.0,0.61
388,Nottingham,East Midlands,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.9,55,20.6,2.05,3.4,2.2,0.11
389,Lewisham,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.3,122,9.4,1.0,18.7,,0.72
390,Blackpool,North West,No intervention,SLD,New maintained special school,4–6 years,80–150,3.7,61,49.5,1.24,12.2,4.6,0.15
391,Wandsworth,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,4.7,150,2.4,1.39,23.2,27.5,0.39
392,Lambeth,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.4,80,9.5,1.5,9.1,4.2,0.21
393,Sunderland,North East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,8.4,252,1.8,1.04,7.8,14.6,0.39
394,Waltham Forest,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.7,62,7.5,2.05,4.4,4.6,0.31
395,Windsor and Maidenhead,South East,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.3,85,15.5,0.97,22.7,13.3,0.05
396,Greenwich,London,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.7,55,7.9,2.05,12.8,11.5,0.51
397,Barnsley,Yorkshire and The Humber,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.7,52,14.0,1.56,27.6,32.7,0.13
398,Southampton,South East,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.0,56,28.0,1.42,3.8,2.0,0.07
399,Milton Keynes,South East,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.4,72,21.1,1.17,6.0,6.8,0.1
400,Dudley,West Midlands,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.6,99,10.0,1.04,11.0,21.5,0.47
401,Salford,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.9,64,7.6,1.72,13.3,25.0,0.08
402,Leicester,East Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,2.1,86,2.8,2.05,11.0,21.2,0.63
403,Derby,East Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,2.2,82,3.2,1.97,12.1,22.4,0.66
404,Darlington,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,8.5,96,2.1,2.05,15.3,4.8,0.04
405,Peterborough,East of England,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,3.7,107,2.1,2.05,0.0,0.0,0.17
406,Kensington and Chelsea,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.9,89,5.5,1.24,19.2,3.2,0.04
407,Wakefield,Yorkshire and The Humber,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.6,62,7.4,1.61,15.2,20.5,0.09
408,Wigan,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.3,261,0.5,2.05,13.4,25.3,0.07
409,Knowsley,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,1.9,54,5.4,2.05,15.9,22.4,0.13
410,Walsall,West Midlands,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,1.2,56,5.3,2.05,13.7,27.6,0.59
411,North East Lincolnshire,Yorkshire and The Humber,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.2,83,2.0,2.05,28.0,22.5,0.59
412,Southend-on-Sea,East of England,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.3,145,1.2,2.05,2.3,2.5,0.03
413,Westminster,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.8,111,3.5,1.18,14.7,7.5,0.05
414,Bath and North East Somerset,South West,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.6,40,12.3,1.93,13.4,10.6,0.19
415,Redcar and Cleveland,North East,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.2,93,7.0,1.01,14.3,8.7,0.07
416,Camden,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.6,42,15.1,1.61,17.8,11.0,0.04
417,Solihull,West Midlands,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,4.5,112,7.3,0.84,9.6,5.2,0.66
418,Hillingdon,London,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,2.5,86,3.9,1.39,14.4,28.6,0.19
419,Bury,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.9,53,5.7,1.74,23.4,29.1,0.32
420,Havering,London,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.8,54,4.4,2.05,11.2,6.7,0.26
421,Bracknell Forest,South East,Safety Valve,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.1,51,10.9,1.29,27.1,16.8,0.26
422,St. Helens,North West,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.5,33,13.0,2.05,16.9,15.4,0.13
423,South Tyneside,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.6,135,1.8,1.32,7.8,9.4,0.05
424,Slough,South East,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,1.8,39,22.1,1.43,7.8,5.2,0.65
425,Darlington,North East,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,2.2,25,25.0,2.05,15.3,4.8,0.04
426,Southend-on-Sea,East of England,Safety Valve,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.8,36,11.3,2.05,2.3,2.5,0.03
427,Redbridge,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.7,92,6.9,0.97,2.9,1.3,0.15
428,Westmorland and Furness,North West,No intervention,MLD,New maintained special school,4–6 years,80–150,2.0,48,52.0,0.74,27.3,12.7,
429,Kingston upon Thames,London,No intervention,SLD,New maintained special school,4–6 years,80–150,1.6,31,22.6,1.52,17.5,6.5,0.05
430,Bexley,London,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,1.6,54,3.0,2.05,12.6,9.9,0.2
431,Torbay,South West,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.1,51,11.8,1.2,6.3,2.3,0.38
432,York,Yorkshire and The Humber,No intervention,SLD,New maintained special school,4–6 years,80–150,2.0,31,31.7,1.46,2.1,0.4,0.11
433,North Lincolnshire,Yorkshire and The Humber,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,1.8,30,21.5,1.46,18.5,8.9,0.06
434,Sheffield,Yorkshire and The Humber,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,0.6,35,7.1,2.05,5.5,15.6,0.34
435,Southwark,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,29.0,1030,0.1,1.58,12.3,6.6,0.53
436,South Tyneside,North East,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.0,53,6.2,1.32,7.8,9.4,0.05
437,Richmond upon Thames,London,No intervention,SLD,New maintained special school,4–6 years,80–150,1.3,26,21.6,1.43,26.6,13.0,0.13
438,Hackney,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.4,88,4.4,0.94,0.0,0.0,0.61
439,Sutton,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,2.0,52,2.0,2.05,20.2,14.5,0.05
440,Hammersmith and Fulham,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.8,32,13.6,1.32,22.0,18.1,0.53
441,Islington,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.5,32,6.1,2.05,6.4,2.6,0.23
442,Westminster,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.6,51,6.0,1.18,14.7,7.5,0.05
443,Isle of Wight,South East,Safety Valve,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.3,59,17.9,0.74,2.5,0.6,0.09
444,Lewisham,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,3.5,129,1.3,1.0,18.7,,0.72
445,Lambeth,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,2.2,73,1.9,1.5,9.1,4.2,0.21
446,Kensington and Chelsea,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.6,38,8.2,1.24,19.2,3.2,0.04
