priority_rank,la_name,region,intervention_status,need_type,facility_type,lead_time,typical_places,gap_pp,gap_abs_children,dist_nearest_maintained_km,demand_growth_to_2030,pct_placements_independent,indep_cost_2030_m,risk_score
113,Devon,South West,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.0,1383,10.3,0.78,28.8,123.9,0.97
114,Oldham,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,30.8,1125,4.5,1.66,4.5,3.3,0.06
115,Wirral,North West,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,8.3,403,44.2,2.05,4.1,6.2,0.95
116,Stoke-on-Trent,West Midlands,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,20.2,688,5.6,2.05,21.9,21.0,0.89
117,Liverpool,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.5,511,16.9,2.05,6.8,23.5,0.78
118,North Northamptonshire,East Midlands,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.1,552,11.5,2.05,12.8,32.4,
119,Sefton,North West,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,10.4,389,31.3,2.05,16.0,27.8,0.5
120,Surrey,South East,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.1,664,11.5,1.5,25.7,194.3,0.91
121,North East Lincolnshire,Yorkshire and The Humber,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,14.1,280,72.0,2.05,28.0,22.5,0.59
122,Warwickshire,West Midlands,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,24.4,1676,1.4,1.83,15.5,31.7,0.15
123,Leicestershire,East Midlands,No intervention,MLD,New maintained special school,4–6 years,80–150,13.3,957,27.2,0.84,16.9,31.0,0.18
124,Leeds,Yorkshire and The Humber,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,11.8,719,16.7,1.41,5.4,19.0,0.04
125,Plymouth,South West,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,11.4,351,44.5,2.05,10.9,13.5,0.65
126,Bury,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,23.3,653,7.7,1.74,23.4,29.1,0.32
127,Derby,East Midlands,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,11.5,430,20.9,1.97,12.1,22.4,0.66
128,Leicestershire,East Midlands,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,19.4,1396,7.2,0.84,16.9,31.0,0.18
129,Slough,South East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,36.6,802,9.3,1.43,7.8,5.2,0.65
130,Nottinghamshire,East Midlands,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,7.2,390,20.8,2.05,15.8,45.2,0.47
131,Wakefield,Yorkshire and The Humber,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,15.7,606,11.7,1.61,15.2,20.5,0.09
132,Warrington,North West,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,16.7,386,19.8,2.05,16.0,10.3,0.56
133,Coventry,West Midlands,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,24.3,843,3.5,2.05,7.0,16.1,0.33
134,Portsmouth,South East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,24.9,575,8.5,2.05,3.0,1.2,0.02
135,Wigan,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,15.0,537,7.9,2.05,13.4,25.3,0.07
136,Rotherham,Yorkshire and The Humber,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,12.7,460,15.5,1.93,8.8,15.7,0.38
137,Brighton and Hove,South East,No intervention,SEMH,New maintained special school,4–6 years,80–150,20.4,571,18.5,1.37,14.3,14.0,0.13
138,Bedford,East of England,No intervention,MLD,New maintained special school,4–6 years,80–150,17.3,375,24.7,2.05,5.2,1.4,0.04
139,Knowsley,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,14.1,393,14.8,2.05,15.9,22.4,0.13
140,East Riding of Yorkshire,Yorkshire and The Humber,Delivering Better Value,ASD,New maintained special school,4–6 years,80–150,13.9,514,40.8,1.21,11.3,7.4,0.1
141,North Lincolnshire,Yorkshire and The Humber,Delivering Better Value,SEMH,New maintained special school,4–6 years,80–150,28.5,474,21.7,1.46,18.5,8.9,0.06
142,Blackburn with Darwen,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,27.3,416,12.6,2.05,15.0,9.0,0.03
143,Wiltshire,South West,Safety Valve,SLD,New maintained special school,4–6 years,80–150,4.5,287,35.4,2.05,20.5,48.8,0.66
144,North Yorkshire,Yorkshire and The Humber,Safety Valve,SEMH,New maintained special school,4–6 years,80–150,6.2,340,27.6,2.05,9.3,20.7,0.5
145,Cheshire East,North West,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,17.5,853,13.2,0.85,31.6,63.6,0.29
146,Cambridgeshire,East of England,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,11.2,898,6.0,1.29,12.6,31.8,0.39
147,Telford and Wrekin,West Midlands,No intervention,MLD,New maintained special school,4–6 years,80–150,13.4,327,32.3,2.05,6.9,4.1,0.03
148,Wokingham,South East,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,20.6,454,9.9,1.9,21.2,20.7,0.52
149,Darlington,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,23.1,259,57.0,2.05,15.3,4.8,0.04
150,Hillingdon,London,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,32.3,1121,3.0,1.39,14.4,28.6,0.19
151,Bedford,East of England,No intervention,SEMH,New maintained special school,4–6 years,80–150,17.4,378,17.8,2.05,5.2,1.4,0.04
152,Leeds,Yorkshire and The Humber,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.8,838,5.9,1.41,5.4,19.0,0.04
