la_code,dist_state_ASD_km_lsoa_mean,dist_state_SEMH_km_lsoa_mean,dist_state_SLD_km_lsoa_mean,dist_state_MLD_km_lsoa_mean,dist_state_SLCN_km_lsoa_mean,dist_indep_ASD_km_lsoa_mean,dist_indep_SEMH_km_lsoa_mean,dist_state_ASD_km_lsoa_sd,dist_state_SEMH_km_lsoa_sd,dist_state_SLD_km_lsoa_sd,dist_state_MLD_km_lsoa_sd,dist_state_SLCN_km_lsoa_sd,dist_indep_ASD_km_lsoa_sd,dist_indep_SEMH_km_lsoa_sd,dist_state_ASD_km_lsoa_max,dist_state_SEMH_km_lsoa_max,dist_state_SLD_km_lsoa_max,dist_state_MLD_km_lsoa_max,dist_state_SLCN_km_lsoa_max,dist_indep_ASD_km_lsoa_max,dist_indep_SEMH_km_lsoa_max,pop_spread_km
E06000001,2.2797572928689127,14.834214078188177,14.591459745467823,115.50089541435759,29.777341707595966,21.98739885247699,28.26787430636753,1.0688861639569314,2.071637708941612,2.0648712198155876,2.006225699283327,1.8941406764394402,1.274958534560057,1.2874033002926109,4.417908982041256,18.613948330248967,18.628556425509235,118.79108834818213,33.48603152265928,25.243508826197882,31.03398190042243,2.4073428042444105
E06000002,2.41785114552767,1.986636537888081,3.8767945790399696,101.24884437468215,37.3027593237449,20.92023576201237,33.60328711554646,0.9404460344193166,0.789531655093126,1.5293007285975482,1.8557888318798568,1.8711800434681103,1.6419405712663204,1.8041641351666113,4.6056167340742,3.774436950417369,6.741502751142694,104.04155181852146,39.90794109286215,24.14391404514767,37.69218554221001,2.5160254342614676
E06000003,11.773384671000196,11.13994812356216,8.134836446011128,107.14458474340722,36.550915252260545,31.34446036562748,41.83069350262382,5.069585013563669,5.027677250677843,4.919757939400291,3.401157841100251,2.8239483291137084,4.998866952766837,4.744384969604798,24.602752722641366,23.623338538988047,20.731943506218443,111.71099678642469,41.39954395184782,44.25920338147606,55.08808337292407,5.856806303338032
E06000004,3.9910598660116046,5.391243939611684,10.432125496714828,101.50778230242184,37.03854557309282,14.94540972893214,27.54358046193436,2.2497218966117987,2.4115470499052862,1.7127926625852068,3.9963244859600464,1.980327259800717,1.8892016792098691,2.4555812218874986,9.980879220094574,12.31984884641596,16.824764524872933,108.82064052715674,40.2122200520682,18.201780591011836,32.40202133292052,4.357155958204926
E06000005,13.983378126347866,3.329417542399081,24.491242427324334,95.75698623782382,40.353329446704926,5.471398626786145,18.905091481247922,1.7482811773901217,1.9274985552717496,2.0613995843517,1.8524001892856208,1.8267382422164908,1.5898142318787836,2.3040926061364444,16.682430122168366,9.339292095976003,29.361966004719335,102.55533714760686,45.29946595029419,8.333196198067826,25.53353917573094,2.8199475656478565
E06000006,4.162134922041286,7.1941750267437685,4.3320834786307385,21.866858055998232,4.023394403080831,4.119405692373599,2.9081234012229142,1.8866325992718045,2.365763443918102,2.2255009760900557,3.0592359220293717,2.4102388490041564,2.1185929034736812,1.6823936931790067,7.385369512512207,11.508149774161733,8.031688642229645,26.48654094771663,8.382075053500428,7.654298511145249,6.238542550189056,3.4745898777909123
E06000007,3.5312246745731515,4.660879615524408,4.168899773215173,19.794855063455174,10.593949709815178,6.140917531042981,9.915214183203952,1.5136114923167667,1.670255643906772,2.068292342949342,2.3944197610481273,2.0022183559232154,2.350170505899172,2.116115332553294,6.902190821480124,8.774576787223818,8.25620651149911,23.512769712177434,14.027914862331794,11.922963462470259,15.169785122239542,4.153359830803606
E06000008,10.80861216104258,14.386160234594406,16.552335245508242,4.281347030158602,12.563699867810593,10.960985573285404,6.248773786334958,1.7387138509966176,1.9496035809380465,3.228894616851923,2.0345778053338424,1.7326085524677555,1.4544268901961248,2.6338454927856527,13.427303003850152,17.83423124886457,21.33786383079523,8.722657075066099,15.838224278752472,13.410390046736683,10.945894244891196,3.5916698326728156
E06000009,17.528943586856265,5.7821075042713135,49.665490992291076,2.150584793013855,42.99819388081856,31.184458798194086,3.183967456324445,2.670633465864477,1.6917423294182892,1.6373386559317602,0.9893993981598659,2.3194730835763355,0.8273218978249605,2.2611441278836217,23.436265430955327,9.439196023912292,53.24552669093397,4.265871115609316,48.178009925016255,32.50073928434216,8.696350527170734,2.8719309950610623
E06000010,26.798029382333414,3.514955729375068,2.7274478308118284,61.10069314987385,63.32633170886387,10.974383854886762,10.194604763739601,2.067239735458685,1.8213292086278352,1.1599248359838121,2.9926578992382273,2.929967789577698,2.6315304265436192,2.051694541975375,31.53804662730947,7.376502286318356,5.177774462234119,66.71723669215324,69.04805559285958,15.455391728932735,14.573824108328918,3.533053305045799
E06000011,26.71597256116424,17.625703655249865,15.231044545604874,60.402933580340125,51.85615773714491,25.02325675583082,18.251560354686514,7.307210860352141,10.75507383801939,11.484179832953597,17.94655468515672,14.317035823114205,13.489571127875283,10.222316408375445,43.23306469708407,39.40587044286554,40.26335907157401,94.8293284271164,92.29864300183227,52.54883099567401,36.31776904196843,21.998172184274164
E06000012,3.7449353153944895,25.876900843019282,28.488781187894194,72.31512694454484,78.6797688099527,25.631339674233836,7.141957462521906,2.252400138499711,3.1067035119892354,3.4429499956760465,3.240206052280112,2.904805939579867,3.6112473354999755,2.2773722851733624,10.182509435606354,30.536876856607453,33.64740829076457,77.40932714691559,82.64260054676156,31.483760311366556,11.54772358007283,4.1138596513671315
E06000013,7.292312768777683,22.001697568986,17.85340508740716,37.98155580093369,45.58664593823913,11.071413335848286,28.5489826268945,5.741535483387124,6.643588048871117,5.228084714440749,8.594878387093292,7.920400587288695,5.8403984857204625,7.16136590775696,22.454112939845192,32.55718740257636,31.27262248346128,61.58386644973804,68.07923740539533,26.353406897410075,43.01074315655528,9.919752055873555
E06000014,35.365025646866435,36.5084015567352,32.35397192670319,47.75585072433574,31.20146126844481,48.43018703732772,32.82818114617922,2.152782015948253,2.5922425557792312,2.7685961966998227,3.083882579594999,2.1086453809720838,3.116451230128583,3.1458297923190983,42.03690579044647,41.01097505362045,38.802569895192775,56.90889067797859,34.974145696958445,56.69505932207327,42.00602258519511,4.003510191312547
E06000015,2.9900206305985093,3.9643775062319464,20.056269347631208,20.490240246711952,4.527561478577082,20.559998030908076,14.225372156160864,1.5763971559414918,1.7623591800986835,1.9080735160483948,2.5133605875719467,2.235570169075131,2.2327080814272255,2.2686041665559427,7.0907213929621555,7.807877593332237,24.24629489405663,25.87169131971953,9.061665062166018,25.110257789633227,19.113334863373243,3.5008510655400418
E06000016,27.166172959314572,2.9357937306588333,5.672392056729489,30.207339528085132,2.452301606512796,12.826366078151223,15.071437202464956,2.165472588131644,1.4839243050980886,2.372134194305235,2.124643492850928,1.2282596266511883,2.038004285482365,1.8648467117775596,32.07907715303273,7.43234966730416,10.377790361046738,35.71794456685597,6.151591952189265,17.121064430058706,18.10632488767107,3.144028971107827
