la_code,la_name,region,intervention_status,n_ehcp_active,imd_average_score,topup_independent,topup_total,ep_service,sen_admin,sen_transport,indep_placements_per1000,pct_special_independent,dist_state_ASD_km_lsoa_mean,dist_state_SEMH_km_lsoa_mean,dist_state_SLD_km_lsoa_mean,dist_state_MLD_km_lsoa_mean,dist_state_SLCN_km_lsoa_mean,dist_indep_ASD_km_lsoa_mean,dist_indep_SEMH_km_lsoa_mean,dist_state_ASD_km_lsoa_sd,dist_state_SEMH_km_lsoa_sd,dist_state_SLD_km_lsoa_sd,dist_state_MLD_km_lsoa_sd,dist_state_SLCN_km_lsoa_sd,dist_indep_ASD_km_lsoa_sd,dist_indep_SEMH_km_lsoa_sd,dist_state_ASD_km_lsoa_max,dist_state_SEMH_km_lsoa_max,dist_state_SLD_km_lsoa_max,dist_state_MLD_km_lsoa_max,dist_state_SLCN_km_lsoa_max,dist_indep_ASD_km_lsoa_max,dist_indep_SEMH_km_lsoa_max,pop_spread_km,pct_asd,pct_semh,pct_sld,pct_mld,pct_slcn,total_pupils,indep_per_ehcp,total_per_ehcp,indep_per_pupil,ehcp_rate_pct
E08000016,Barnsley,Yorkshire and The Humber,Delivering Better Value,2752.0,29.933,20174356.0,34572849.0,1014883.0,2846684.0,5170676.0,1.5601174676681535,27.590511860174782,12.771734060729358,5.309271696674961,14.058569289521824,15.392747779331346,17.515160719409735,9.425482459829766,13.79533499142418,2.660437166027218,2.8917836986593013,3.6433160227921393,2.9135469881063685,2.1208351914567007,4.45257163564844,3.9758754121217574,18.02668058777816,11.587323544608436,22.89870265184765,20.896836863459033,21.58729805356285,21.47627075853094,22.113866215894074,6.017419479389475,41.4,16.8,1.7,8.0,18.6,2772656.0,7330.797965116279,12562.808502906977,7.2761842796221385,0.09925501035829905
E06000006,Halton,North West,Delivering Better Value,1524.0,32.325,8487401.0,19842906.0,613976.0,727203.0,3273535.0,1.2010796221322535,15.696649029982362,4.162134922041288,7.194175026743769,4.332083478630737,21.86685805599823,4.023394403080833,4.119405692373598,2.9081234012229134,1.8866325992718045,2.365763443918102,2.2255009760900584,3.059235922029372,2.4102388490041555,2.1185929034736817,1.682393693179008,7.385369512512207,11.508149774161733,8.031688642229645,26.48654094771663,8.382075053500428,7.654298511145249,6.238542550189056,3.4745898777909128,32.7,25.0,1.2,8.9,24.6,1538352.0,5569.160761154855,13020.279527559054,5.517203474887412,0.09906705357421448
E08000029,Solihull,West Midlands,No intervention,2301.0,17.37,10323169.0,29062763.0,755185.0,2611610.0,5053430.0,0.5257874862578271,9.59651035986914,5.918843571780182,4.8345214675198545,3.55561339263362,3.7598230820849023,10.419236119043333,7.895756845801251,6.5116581664574475,2.9819363462579864,2.113658404175642,2.6945400622708515,2.8318127033334433,3.1216253619688494,2.091817395593573,3.548331968268362,11.953897309222011,8.25831501473471,13.03196379112576,13.669344095354711,21.228608256445074,12.843354811445796,15.13092379163952,5.553207562469606,37.4,15.1,6.4,9.5,16.4,3348360.0,4486.383746197305,12630.49239461104,3.0830523002305608,0.06872020929649142
E06000050,Cheshire West and Chester,North West,No intervention,3339.0,18.083,10047705.0,44360912.0,1393183.0,1717938.0,8590559.0,0.4701117419448161,9.059233449477352,8.597893786910337,6.565177388886586,12.619268972616178,18.45246142413624,11.788471491978182,10.912615695227176,15.855357763034505,7.418266235958867,4.83900005396649,6.6221163975838175,9.472460210609107,7.021384322167695,4.632909677773829,4.030525158111277,23.861956943708677,29.515668709142254,29.643036047710055,37.661693759353,29.9536492700601,21.9708464332362,28.999335776623322,13.096742531661901,27.0,24.1,3.7,19.4,17.9,4360336.0,3009.1958670260556,13285.68793051812,2.304341913100275,0.07657666748617538
E06000024,North Somerset,South West,Delivering Better Value,2114.0,15.825,8626319.0,29745947.0,920177.0,1780189.0,5619336.0,0.9294822553387616,20.54329371816638,18.35742432662759,18.31226143784319,7.125207630125163,74.55638253784275,19.252137482021023,25.315884193450792,33.7005886843668,7.829401352960571,7.833243657898126,4.724994968816274,6.713225575094037,6.748236334423194,7.955814264077564,5.0377661770712425,29.437775485160255,29.380294636254103,16.554866683524164,82.77930863568658,29.00204988475658,36.46800308984713,43.0164470128398,8.785100017676656,19.8,36.6,4.1,13.7,16.7,2547368.0,4080.567171239357,14070.930463576158,3.386365456424042,0.08298761702274661
E06000025,South Gloucestershire,South West,No intervention,2814.0,11.66,12799507.0,43946212.0,749529.0,1848649.0,4786765.0,0.5830001903674091,12.564102564102564,7.189381926335718,5.597599199731202,5.740100969141212,49.23411088205649,8.538636001986472,11.497282846928403,32.74518617876789,3.5711552914613107,3.7108554499600643,3.4467313794603953,3.9989841656073497,2.607609656547102,4.1704256161116655,4.222303030522964,19.288124683915203,14.35279903635676,13.48602071179895,54.28207474736667,19.65997998414648,22.073978952499644,43.436450816389666,6.506539655196284,31.5,24.2,3.7,7.4,21.2,3249216.0,4548.5099502487565,15616.990760483297,3.9392601169020467,0.08660550729776044
E10000027,Somerset,South West,Safety Valve,5108.0,15.1,31871722.0,75072937.0,2593804.0,3753867.0,10825748.0,,27.655172413793107,11.952525008917512,44.850040554199865,22.582641411582102,58.00392882438864,30.872610245336254,20.054090129546783,13.804643776861488,8.416375942608754,10.262755674214441,10.677351154086695,11.182911014601853,14.953293113047469,11.214543438207908,7.860447979419422,40.11529984256993,62.641954642837,42.84118074729122,79.55926878335478,73.51152725892129,56.15801229079301,30.713028167545136,23.729270554867927,23.7,30.6,6.8,9.7,16.9,5053536.0,6239.569694596711,14697.12940485513,6.306816059092089,0.10107774041779855
E06000015,Derby,East Midlands,Delivering Better Value,3564.0,26.323,16113606.0,49565445.0,725066.0,1195600.0,5908936.0,0.713117160954738,12.110418521816564,2.99002063059851,3.9643775062319464,20.056269347631208,20.49024024671195,4.527561478577085,20.559998030908076,14.225372156160864,1.5763971559414918,1.762359180098685,1.908073516048395,2.5133605875719476,2.2355701690751304,2.2327080814272255,2.2686041665559435,7.0907213929621555,7.807877593332237,24.24629489405663,25.87169131971953,9.061665062166018,25.110257789633227,19.113334863373243,3.500851065540043,35.7,20.7,2.6,11.5,14.9,3628704.0,4521.213804713805,13907.251683501683,4.44059531998201,0.09821688404455145
E06000063,Cumberland,North West,No intervention,2656.0,27.1,0.0,0.0,0.0,0.0,0.0,0.4982561036372695,14.545454545454543,,,,,,,,,,,,,,,,,,,,,,,36.0,19.8,10.5,0.6,21.5,645408.0,0.0,0.0,0.0,0.411522633744856
E06000040,Windsor and Maidenhead,South East,No intervention,1199.0,8.376,7812900.0,21018728.0,1111266.0,390638.0,2102398.0,0.7146386222473179,22.689075630252105,10.059296025733234,8.059420022742318,19.189875750951902,13.85349243882946,8.68228498420956,17.463149997298704,11.277944214868146,1.8620732575162386,2.749038034248733,3.3674853928314197,2.6545641483836744,2.5800976478756845,3.8371433731286966,2.170886834565782,14.663260578998777,15.21303441870907,22.80469738100435,18.133405612878747,13.216492749372367,25.302266785908863,17.16142276198083,6.3122792687864075,43.8,18.9,1.7,6.3,15.9,2236784.0,6516.180150125104,17530.215179316096,3.4929166159986837,0.053603745377291685
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Delivering Better Value,3410.0,15.605,4979569.0,30587915.0,1749983.0,2909573.0,7129304.0,0.3590781484624926,11.262798634812286,26.71597256116424,17.625703655249865,15.231044545604872,60.40293358034013,51.85615773714491,25.02325675583082,18.251560354686518,7.307210860352138,10.75507383801939,11.484179832953599,17.946554685156723,14.317035823114205,13.489571127875287,10.222316408375448,43.2330646970841,39.40587044286554,40.263359071574016,94.8293284271164,92.29864300183227,52.548830995674024,36.31776904196841,21.998172184274164,13.9,31.4,2.9,5.4,31.7,3773176.0,1460.2841642228739,8970.063049853372,1.3197287908117723,0.09037479301257084
E06000034,Thurrock,East of England,Safety Valve,2319.0,20.928,5016195.0,26576957.0,492084.0,941901.0,16232445.0,0.307454591321897,6.610169491525424,4.198788936382871,11.35976208678866,5.564147953833056,13.344926721934346,13.380110134308902,12.829733081529467,14.792600123445723,2.047882873604124,3.1786579537663044,2.924837537980848,2.004077031570165,2.923497849406049,2.8065188959731864,2.0679907471998815,8.541644360277234,18.14072748119733,10.318564669719207,17.738059853376225,17.640559649754085,18.70711568887289,20.78813171568629,4.837429933874956,29.7,18.8,1.5,14.4,25.5,2390152.0,2163.0853816300128,11460.524795170331,2.0986928864775125,0.09702311819499346
E10000019,Lincolnshire,East Midlands,Delivering Better Value,7607.0,20.5,17705252.0,83082258.0,1349511.0,5080821.0,26465016.0,0.3478299896773035,6.512605042016808,21.672355733428923,15.228440437843874,26.658770869744473,46.35587797464606,37.27181880150719,22.52118552835434,30.287325580899854,9.009651670221375,9.786357640606948,12.168493103600872,18.25756836260565,17.80688558770626,12.173176445126135,10.669859123954032,49.158044270962115,35.37491879191265,47.48476913540243,91.72567076577947,78.4315033838553,58.21744731231155,56.07552931349962,32.13568897813632,32.8,21.1,1.0,4.7,17.9,8897688.0,2327.494675956356,10921.816484816616,1.9898710766212526,0.08549411937123441
E09000029,Sutton,London,No intervention,2304.0,13.987,12905175.0,45985640.0,495048.0,1113857.0,5138151.0,0.8107603649004923,20.232896652110625,2.5801377318070835,2.974267320398109,20.56113753211001,8.508789651854032,3.3553494638263124,2.6269705154765823,12.619559451100555,1.1320689124635708,1.3474672917190629,1.3973643694675577,1.5416741354697163,1.5214408922822054,1.1532548402260174,1.0590223049653549,5.27015563427656,6.586880682244719,24.327253166424263,11.281768584478597,6.642678990294552,4.786536088943369,14.458914109652639,2.483382701509399,43.8,13.3,2.1,8.9,17.4,3295608.0,5601.204427083333,19959.04513888889,3.915870758900937,0.0699112273061602
E10000008,Devon,South West,Safety Valve,8873.0,18.0,55751190.0,117133530.0,3756468.0,4134589.0,26345713.0,1.768143402526991,28.84468247895945,25.561936251479487,15.220708849105351,13.148226419423187,24.943197413966455,51.38824950428561,56.55599694291873,23.02521503428924,11.158600653669678,9.460502949602011,8.562621924388495,20.827698951282876,19.3053135280823,21.94009741105319,8.840738786838225,55.7315508241218,43.0907738541311,40.70711645979738,76.09476580974437,91.93804233213827,95.7046474630678,39.745704835016355,33.105542846889016,27.4,26.6,2.7,9.8,25.8,8520584.0,6283.240166798152,13201.119125436719,6.543118405968417,0.1041360545239622
E08000012,Liverpool,North West,Delivering Better Value,5820.0,42.412,16664543.0,55030016.0,1951616.0,5224609.0,13036704.0,0.4496007042696346,6.780464675201517,3.0659172495498526,3.464500381318617,17.13371039894167,33.510096862428426,5.757135037746592,16.779817732175434,9.756453543584263,2.022343251776143,1.5131450055133435,3.3563031580168694,2.5118283087642426,2.6695786247677815,3.3419445697799994,2.1857309339404325,9.278275949847576,6.2645712932348765,23.08003574769201,38.744687213509174,11.652924346360777,22.696889014865913,13.721110832168476,4.262851100562848,35.1,23.5,7.5,8.0,18.5,6076600.0,2863.3235395189004,9455.329209621994,2.7424123687588455,0.0957772438534707
E08000006,Salford,North West,Delivering Better Value,3206.0,34.21,9739787.0,37306760.0,1995949.0,933442.0,7418962.0,0.8513242822167816,13.28125,6.547748492318184,4.094649492261644,7.490380455717008,11.816035117342944,5.177656383183949,11.169796521189808,5.526444875057696,2.256498422771235,1.751678661134488,2.0588911131620895,2.874432903959812,1.837171204982397,3.03755106931971,2.001873940550035,9.756346299093689,7.602898467570986,11.778408795183333,16.35883233501285,10.448693216714734,15.832661626316476,10.519707598677057,4.578056041180425,24.4,27.0,1.9,6.7,27.9,3372520.0,3037.987211478478,11636.54398003743,2.8879849489402583,0.09506244588616228
E10000030,Surrey,South East,Safety Valve,14245.0,11.2,95750513.0,202772365.0,4050736.0,18320480.0,48922427.0,1.50786145803221,25.70474002923366,4.808536928875911,10.566518827019445,16.596791508673377,9.187145460213515,8.134751235042497,11.706015051694639,14.246482652499777,3.639783837789402,4.319112921107084,7.597560075798683,4.3342344065037075,3.7256833583512323,4.463748840060901,5.375813025708075,22.30603641713183,20.220743743257785,28.19247451813507,20.014894120677287,20.392407311492846,21.70201581874632,28.93926001340586,16.794201608016234,34.9,17.2,3.7,13.9,20.3,15925792.0,6721.692734292735,14234.634257634258,6.012292073135201,0.0894461010165146
E09000022,Lambeth,London,No intervention,3332.0,25.422,5284222.0,44052144.0,741017.0,2108115.0,5150723.0,0.4781531167501751,9.102564102564102,2.098632720523224,3.098775304718208,9.929378522007761,9.38651886983548,4.837778561755229,4.324304532085081,6.514247323281989,0.9183974016362366,1.2398834847555171,1.960572815261718,1.4657646972741527,0.9688166650226622,1.1034136331148854,1.6324514071326204,3.881824262481258,5.505360423810497,14.39776787870564,12.056755201553278,6.758028924806616,7.092354492720405,10.632089289471041,2.6146660938898094,38.4,14.2,2.4,7.1,24.5,3146400.0,1585.9009603841537,13220.931572629052,1.679450165268243,0.10589880498347316
